strategy,run_id,task_id,title,func_name,initial_passed,used_repair,iterations,final_passed,initial_static_issues,final_static_issues
no_repair,1,1,Reverse a string,reverse_string,True,False,0,True,0,0
no_repair,1,2,Sum list (ignore non-numbers),sum_numbers,True,False,0,True,0,0
no_repair,1,3,Safe divide,safe_divide,True,False,0,True,0,0
no_repair,1,4,Find longest word in sentence,longest_word,False,False,0,False,0,0
no_repair,1,5,Count character frequency,char_frequency,True,False,0,True,0,0
no_repair,1,6,Remove duplicates while preserving order,unique_list,True,False,0,True,0,0
no_repair,1,7,Validate email,is_valid_email,False,False,0,False,0,0
no_repair,1,8,Compute running average,running_average,True,False,0,True,0,0
no_repair,1,9,Find second largest,second_largest,False,False,0,False,0,0
no_repair,1,10,Balanced parentheses checker,is_balanced,False,False,0,False,0,0
no_repair,1,11,Parse CSV user data,parse_user_csv,False,False,0,False,0,0
no_repair,1,12,Door state machine,door_state,False,False,0,False,0,0
no_repair,2,1,Reverse a string,reverse_string,True,False,0,True,0,0
no_repair,2,2,Sum list (ignore non-numbers),sum_numbers,True,False,0,True,0,0
no_repair,2,3,Safe divide,safe_divide,True,False,0,True,0,0
no_repair,2,4,Find longest word in sentence,longest_word,False,False,0,False,0,0
no_repair,2,5,Count character frequency,char_frequency,True,False,0,True,0,0
no_repair,2,6,Remove duplicates while preserving order,unique_list,True,False,0,True,0,0
no_repair,2,7,Validate email,is_valid_email,False,False,0,False,0,0
no_repair,2,8,Compute running average,running_average,True,False,0,True,0,0
no_repair,2,9,Find second largest,second_largest,False,False,0,False,0,0
no_repair,2,10,Balanced parentheses checker,is_balanced,False,False,0,False,0,0
no_repair,2,11,Parse CSV user data,parse_user_csv,False,False,0,False,0,0
no_repair,2,12,Door state machine,door_state,False,False,0,False,0,0
no_repair,3,1,Reverse a string,reverse_string,True,False,0,True,0,0
no_repair,3,2,Sum list (ignore non-numbers),sum_numbers,True,False,0,True,0,0
no_repair,3,3,Safe divide,safe_divide,True,False,0,True,0,0
no_repair,3,4,Find longest word in sentence,longest_word,False,False,0,False,0,0
no_repair,3,5,Count character frequency,char_frequency,True,False,0,True,0,0
no_repair,3,6,Remove duplicates while preserving order,unique_list,True,False,0,True,0,0
no_repair,3,7,Validate email,is_valid_email,False,False,0,False,0,0
no_repair,3,8,Compute running average,running_average,True,False,0,True,0,0
